"","minute","time","trial","team","X","process_effort_s","process_skill_use_s","process_workload_burnt","comms_total_words","comms_equity","triage_count","team_score","elapsed_ms","team_score_agg","critic_victim","noncritic_victim","BLUE_anger","BLUE_marking_skill","BLUE_mission_knowledge","BLUE_role","BLUE_anxiety","BLUE_gaming_experience","BLUE_sbsod","BLUE_rmie","BLUE_walking_skill","BLUE_transporting_skill","RED_anger","RED_marking_skill","RED_mission_knowledge","RED_role","RED_anxiety","RED_gaming_experience","RED_sbsod","RED_rmie","RED_walking_skill","RED_transporting_skill","GREEN_anger","GREEN_marking_skill","GREEN_mission_knowledge","GREEN_role","GREEN_anxiety","GREEN_gaming_experience","GREEN_sbsod","GREEN_rmie","GREEN_walking_skill","GREEN_transporting_skill","team_marking_skill_sd","team_rmie_mean","team_transporting_skill_sd","team_anger_sd","team_gaming_experience_sd","team_walking_skill_mean","team_transporting_skill_mean","team_mission_knowledge_mean","team_rmie_sd","team_anger_mean","team_sbsod_mean","team_sbsod_sd","team_gaming_experience_mean","team_mission_knowledge_sd","team_anxiety_mean","team_anxiety_sd","team_walking_skill_sd","team_marking_skill_mean","Blue","Green","Red","time.1","filename","study","condition.id","condition.agent.name","map.order","red_triage_time","red_idle_time","red_transport_time","red_walking_time","red_functional_delay","green_idle_time","green_transport_time","green_walking_time","green_functional_delay","blue_hammer_time","blue_idle_time","blue_transport_time","blue_walking_time","blue_functional_delay","concurrent_activity_time","concurrent_idle_time","red_score","green_score","blue_score","total_score","saved_type_A_victim","saved_type_B_victim","saved_type_C_victim","Trial_number","Team_number","team_functional_delay","team_idle_time","mission","lagcomms","diffcomms","cumidle","cumactive","cumdelay","cumeffort","cumskilluse","cumstrategy"
"1",4,"00:04:00","T000601","TM000201",4,23.6833333333333,14.0933333333333,0.00508566666666667,320.166666666667,184.833333333333,0.333333333333333,0,291482,60,0,0,1,3.16,50,"Engineering_Specialist",2.5,4,5.2,0.75,0.283,3.48,1,4.17,30,"Medical_Specialist",1,5,4.2,0.833,0.216,3.18,1,7.87,20,"Transport_Specialist",1.5,4.5,4.4,0.778,0.202,7.25,2.03,0.787,1.85,0,0.408,0.234,4.64,33.3,0.0346,1,4.6,0.432,4.5,12.5,1.67,0.624,0.0355,5.07,"E000608","E000606","E000622","0 days 00:04:01.252000000","HSRData_TrialMessages_Trial-T000601_Team-TM000201_Member-na_CondBtwn-none_CondWin-na_Vers-6.metadata","asist3",1,"No Advisor","A-B",6050,13138,18267,22545,19791,7263,14752,37985,0,852,18728,17516,22904,0,26954,416,0,0,0,0,1,0,0,"T000601","TM000201",19791,39129,1,236,84.1666666666667,416,26954,19791,23.6833333333333,14.0933333333333,0.00508566666666667
"2",5,"00:05:00","T000601","TM000201",5,26.9166666666667,20.0333333333333,0.00600683333333333,384.333333333333,221.833333333333,0,10,351770,70,0,10,1,3.16,50,"Engineering_Specialist",2.5,4,5.2,0.75,0.283,3.48,1,4.17,30,"Medical_Specialist",1,5,4.2,0.833,0.216,3.18,1,7.87,20,"Transport_Specialist",1.5,4.5,4.4,0.778,0.202,7.25,2.03,0.787,1.85,0,0.408,0.234,4.64,33.3,0.0346,1,4.6,0.432,4.5,12.5,1.67,0.624,0.0355,5.07,"E000608","E000606","E000622","0 days 00:05:01.582000000","HSRData_TrialMessages_Trial-T000601_Team-TM000201_Member-na_CondBtwn-none_CondWin-na_Vers-6.metadata","asist3",1,"No Advisor","A-B",0,839,42737,16424,0,16576,13652,29772,0,1702,12172,4133,41993,0,31548,101,10,0,0,10,1,0,1,"T000601","TM000201",0,29587,1,320.166666666667,64.1666666666666,517,58502,19791,50.6,34.1266666666667,0.0110925
"3",6,"00:06:00","T000601","TM000201",6,25.4166666666667,7.86833333333333,0.00438266666666667,445,256.833333333333,0.166666666666667,50,412002,120,1,0,1,3.16,50,"Engineering_Specialist",2.5,4,5.2,0.75,0.283,3.48,1,4.17,30,"Medical_Specialist",1,5,4.2,0.833,0.216,3.18,1,7.87,20,"Transport_Specialist",1.5,4.5,4.4,0.778,0.202,7.25,2.03,0.787,1.85,0,0.408,0.234,4.64,33.3,0.0346,1,4.6,0.432,4.5,12.5,1.67,0.624,0.0355,5.07,"E000608","E000606","E000622","0 days 00:06:01.790000000","HSRData_TrialMessages_Trial-T000601_Team-TM000201_Member-na_CondBtwn-none_CondWin-na_Vers-6.metadata","asist3",1,"No Advisor","A-B",3000,5052,0,51948,0,14670,15752,29578,0,2649,1930,0,55421,0,38244,830,0,50,0,50,0,0,1,"T000601","TM000201",0,21652,1,384.333333333333,60.6666666666667,1347,96746,19791,76.0166666666667,41.995,0.0154751666666667
"4",7,"00:07:00","T000601","TM000201",7,22.45,11.6483333333333,0.00484783333333333,520.833333333333,300.833333333333,0.333333333333333,10,472379,130,0,10,1,3.16,50,"Engineering_Specialist",2.5,4,5.2,0.75,0.283,3.48,1,4.17,30,"Medical_Specialist",1,5,4.2,0.833,0.216,3.18,1,7.87,20,"Transport_Specialist",1.5,4.5,4.4,0.778,0.202,7.25,2.03,0.787,1.85,0,0.408,0.234,4.64,33.3,0.0346,1,4.6,0.432,4.5,12.5,1.67,0.624,0.0355,5.07,"E000608","E000606","E000622","0 days 00:07:02.026000000","HSRData_TrialMessages_Trial-T000601_Team-TM000201_Member-na_CondBtwn-none_CondWin-na_Vers-6.metadata","asist3",1,"No Advisor","A-B",5952,12294,9549,32205,0,16197,37771,6032,0,5202,4457,0,50341,0,20806,4958,10,0,0,10,0,1,0,"T000601","TM000201",0,32948,1,445,75.8333333333334,6305,117552,19791,98.4666666666667,53.6433333333333,0.020323
"5",8,"00:08:00","T000601","TM000201",8,25.2666666666667,16.15,0.00525983333333333,621.166666666667,358.5,0.333333333333333,50,532787,180,1,0,1,3.16,50,"Engineering_Specialist",2.5,4,5.2,0.75,0.283,3.48,1,4.17,30,"Medical_Specialist",1,5,4.2,0.833,0.216,3.18,1,7.87,20,"Transport_Specialist",1.5,4.5,4.4,0.778,0.202,7.25,2.03,0.787,1.85,0,0.408,0.234,4.64,33.3,0.0346,1,4.6,0.432,4.5,12.5,1.67,0.624,0.0355,5.07,"E000608","E000606","E000622","0 days 00:08:02.446000000","HSRData_TrialMessages_Trial-T000601_Team-TM000201_Member-na_CondBtwn-none_CondWin-na_Vers-6.metadata","asist3",1,"No Advisor","A-B",6050,10918,32468,10564,10112,5768,24050,30182,0,1699,15418,0,42883,0,26291,1664,0,50,0,50,0,0,1,"T000601","TM000201",10112,32104,1,520.833333333333,100.333333333333,7969,143843,29903,123.733333333333,69.7933333333333,0.0255828333333333
"6",9,"00:09:00","T000601","TM000201",9,28.55,18.9666666666667,0.00552633333333333,698.333333333333,403.166666666667,0,10,592938,190,0,10,1,3.16,50,"Engineering_Specialist",2.5,4,5.2,0.75,0.283,3.48,1,4.17,30,"Medical_Specialist",1,5,4.2,0.833,0.216,3.18,1,7.87,20,"Transport_Specialist",1.5,4.5,4.4,0.778,0.202,7.25,2.03,0.787,1.85,0,0.408,0.234,4.64,33.3,0.0346,1,4.6,0.432,4.5,12.5,1.67,0.624,0.0355,5.07,"E000608","E000606","E000622","0 days 00:09:02.882000000","HSRData_TrialMessages_Trial-T000601_Team-TM000201_Member-na_CondBtwn-none_CondWin-na_Vers-6.metadata","asist3",1,"No Advisor","A-B",0,0,60000,0,0,10746,9585,39669,0,1570,1306,0,57124,0,43767,0,0,10,0,10,1,0,0,"T000601","TM000201",0,12052,1,621.166666666667,77.1666666666669,7969,187610,29903,152.283333333333,88.76,0.0311091666666667
"7",10,"00:10:00","T000601","TM000201",10,23.9166666666667,15.1333333333333,0.010155,764.666666666667,441.333333333333,0.333333333333333,50,653107,240,1,0,1,3.16,50,"Engineering_Specialist",2.5,4,5.2,0.75,0.283,3.48,1,4.17,30,"Medical_Specialist",1,5,4.2,0.833,0.216,3.18,1,7.87,20,"Transport_Specialist",1.5,4.5,4.4,0.778,0.202,7.25,2.03,0.787,1.85,0,0.408,0.234,4.64,33.3,0.0346,1,4.6,0.432,4.5,12.5,1.67,0.624,0.0355,5.07,"E000608","E000606","E000622","0 days 00:10:02.938000000","HSRData_TrialMessages_Trial-T000601_Team-TM000201_Member-na_CondBtwn-none_CondWin-na_Vers-6.metadata","asist3",1,"No Advisor","A-B",6048,10735,8698,34519,0,25881,0,34119,0,8438,5032,0,46530,0,19966,2956,50,0,0,50,0,0,1,"T000601","TM000201",0,41648,1,698.333333333333,66.333333333333,10925,207576,29903,176.2,103.893333333333,0.0412641666666667
"8",11,"00:11:00","T000601","TM000201",11,20.9,9.91,0.0014625,808.5,466.666666666667,0,10,713333,250,0,10,1,3.16,50,"Engineering_Specialist",2.5,4,5.2,0.75,0.283,3.48,1,4.17,30,"Medical_Specialist",1,5,4.2,0.833,0.216,3.18,1,7.87,20,"Transport_Specialist",1.5,4.5,4.4,0.778,0.202,7.25,2.03,0.787,1.85,0,0.408,0.234,4.64,33.3,0.0346,1,4.6,0.432,4.5,12.5,1.67,0.624,0.0355,5.07,"E000608","E000606","E000622","0 days 00:11:03.115000000","HSRData_TrialMessages_Trial-T000601_Team-TM000201_Member-na_CondBtwn-none_CondWin-na_Vers-6.metadata","asist3",1,"No Advisor","A-B",0,9776,9251,40973,0,38626,0,21374,0,0,842,32613,26545,0,16569,104,10,0,0,10,0,1,0,"T000601","TM000201",0,49244,1,764.666666666667,43.8333333333335,11029,224145,29903,197.1,113.803333333333,0.0427266666666667
"9",12,"00:12:00","T000601","TM000201",12,23.1666666666667,13.8116666666667,0.00537533333333333,842.666666666667,486.5,0.166666666666667,50,773589,300,1,0,1,3.16,50,"Engineering_Specialist",2.5,4,5.2,0.75,0.283,3.48,1,4.17,30,"Medical_Specialist",1,5,4.2,0.833,0.216,3.18,1,7.87,20,"Transport_Specialist",1.5,4.5,4.4,0.778,0.202,7.25,2.03,0.787,1.85,0,0.408,0.234,4.64,33.3,0.0346,1,4.6,0.432,4.5,12.5,1.67,0.624,0.0355,5.07,"E000608","E000606","E000622","0 days 00:12:03.363000000","HSRData_TrialMessages_Trial-T000601_Team-TM000201_Member-na_CondBtwn-none_CondWin-na_Vers-6.metadata","asist3",1,"No Advisor","A-B",3001,6747,26153,24099,0,20959,15101,23940,0,7050,4543,9633,38774,0,25578,1463,50,0,0,50,1,0,1,"T000601","TM000201",0,32249,1,808.5,34.1666666666665,12492,249723,29903,220.266666666667,127.615,0.048102
"10",13,"00:13:00","T000601","TM000201",13,22.9666666666667,15.72,0.00528166666666667,912.166666666667,526.5,0.333333333333333,0,833798,300,0,0,1,3.16,50,"Engineering_Specialist",2.5,4,5.2,0.75,0.283,3.48,1,4.17,30,"Medical_Specialist",1,5,4.2,0.833,0.216,3.18,1,7.87,20,"Transport_Specialist",1.5,4.5,4.4,0.778,0.202,7.25,2.03,0.787,1.85,0,0.408,0.234,4.64,33.3,0.0346,1,4.6,0.432,4.5,12.5,1.67,0.624,0.0355,5.07,"E000608","E000606","E000622","0 days 00:13:03.603000000","HSRData_TrialMessages_Trial-T000601_Team-TM000201_Member-na_CondBtwn-none_CondWin-na_Vers-6.metadata","asist3",1,"No Advisor","A-B",8199,18181,3253,30367,0,21486,7918,30596,0,11555,10001,0,38444,0,15181,5720,0,0,0,0,0,0,0,"T000601","TM000201",0,49668,1,842.666666666667,69.5,18212,264904,29903,243.233333333333,143.335,0.0533836666666667
