minute,red_triage_time,red_idle_time,red_transport_time,red_walking_time,red_functional_delay,green_idle_time,green_transport_time,green_walking_time,green_functional_delay,blue_hammer_time,blue_idle_time,blue_transport_time,blue_walking_time,blue_functional_delay,concurrent_activity_time,concurrent_idle_time,red_score,green_score,blue_score,total_score,saved_type_A_victim,saved_type_B_victim,saved_type_C_victim,Trial_number,Team_number
0,0,60000,0,0,0,52587,0,7413,0,0,60000,0,0,0,0,52587,0,0,0,0,0,0,0,T000754,TM000277
1,0,60000,0,0,0,58406,0,1594,0,0,60000,0,0,0,0,58406,0,0,0,0,0,0,0,T000754,TM000277
2,3001,17828,2853,36318,0,8669,17349,33982,0,1753,5256,0,52991,0,29085,2358,0,0,0,0,0,0,0,T000754,TM000277
3,3001,9874,698,46427,0,8452,21914,29634,0,5295,7995,0,46710,0,29481,509,0,20,0,20,1,1,0,T000754,TM000277
4,6047,16550,201,37202,0,11770,13602,34628,0,11407,10694,0,37899,0,17978,2664,0,0,0,0,0,0,0,T000754,TM000277
5,9097,11821,4201,34881,0,7783,25812,26405,0,3553,23675,9954,22818,0,14763,2695,0,20,0,20,1,1,0,T000754,TM000277
6,0,8514,16203,35283,0,14978,15752,29270,0,2650,2365,24849,30136,0,34585,409,0,50,50,100,0,0,2,T000754,TM000277
7,3001,8104,6653,42242,0,8767,0,51233,0,4401,17359,0,38240,0,28048,917,50,0,0,50,0,0,1,T000754,TM000277
8,0,13286,9351,37363,4346,17588,0,42412,0,2549,15250,9351,32850,0,20126,1,0,0,0,0,0,0,0,T000754,TM000277
9,5997,9382,18443,26178,4446,8832,0,51168,0,0,13950,5558,40492,0,30016,203,0,0,0,0,0,0,0,T000754,TM000277
10,0,20705,0,39295,36230,3881,23007,33112,0,1750,3356,0,54894,0,32659,408,0,100,0,100,0,0,2,T000754,TM000277
11,7650,22709,15300,14341,28346,1892,31554,26554,0,4351,13367,14850,27432,0,15362,2044,0,10,0,10,1,0,0,T000754,TM000277
12,0,23702,12503,23795,0,0,60000,0,0,0,22805,19603,17592,0,13860,6168,10,0,50,60,0,1,1,T000754,TM000277
13,5999,15624,18501,19876,0,4190,46299,9511,0,2701,11049,0,46250,0,11063,4306,0,0,0,0,0,0,0,T000754,TM000277
14,6001,6250,10502,37247,0,8003,26016,25981,0,3498,17474,0,39028,0,23346,3640,0,60,0,60,0,1,1,T000754,TM000277
15,0,1664,53452,4884,0,407,58899,694,0,851,18956,4351,35842,0,3076,8087,10,50,0,60,1,0,1,T000754,TM000277
16,6049,5206,2051,46694,0,7013,9002,43985,0,0,9843,0,50157,0,37247,102,0,10,0,10,1,0,0,T000754,TM000277
0,0,60000,0,0,0,60000,0,0,0,0,60000,0,0,0,0,60000,0,0,0,0,0,0,0,T000738,TM000269
1,0,60000,0,0,0,60000,0,0,0,0,60000,0,0,0,0,60000,0,0,0,0,0,0,0,T000738,TM000269
2,0,18147,0,41853,297,10015,0,49985,0,2441,8485,0,49074,0,35851,3268,0,0,0,0,0,0,0,T000738,TM000269
3,9000,25642,0,25358,11116,9516,15544,34940,0,1315,24970,0,33715,0,14710,3689,0,50,0,50,0,0,1,T000738,TM000269
4,2997,10149,0,46854,0,492,27319,32189,0,7945,2187,0,49868,0,39177,0,0,100,0,100,0,0,2,T000738,TM000269
5,8434,22223,3251,26092,15992,8521,36587,14892,0,2050,7404,2584,47962,0,21816,1528,0,0,0,0,0,0,0,T000738,TM000269
6,6566,20099,3784,29551,24933,2784,16172,41044,0,3548,17611,15169,23672,0,20524,102,0,60,0,60,1,0,1,T000738,TM000269
7,0,10203,4668,45129,0,7999,15404,36597,0,1751,12750,7204,38295,0,31678,916,0,50,10,60,0,1,1,T000738,TM000269
8,6050,11440,22453,20057,0,28900,0,31100,0,998,1480,11552,45970,0,22825,727,0,0,10,10,0,1,0,T000738,TM000269
9,6000,7800,19084,27116,20060,8684,16503,34813,0,7048,2646,0,50306,0,35480,918,0,50,0,50,0,0,1,T000738,TM000269
10,0,9309,13918,36773,0,7160,7334,45506,0,2603,-856,0,58253,0,42294,0,10,0,0,10,1,0,0,T000738,TM000269
11,6001,13383,3101,37515,0,3175,8417,48408,0,1299,6053,18188,34460,0,34274,102,0,0,0,0,0,1,0,T000738,TM000269
12,6052,4696,33538,15714,0,2667,20288,37045,0,2586,11191,17,46206,0,41493,1323,10,20,0,30,2,1,0,T000738,TM000269
13,6050,14190,6369,33391,0,7446,20870,31684,0,5612,13977,0,40411,0,27192,3866,10,60,0,70,1,1,1,T000738,TM000269
14,3000,21228,0,35772,15039,4303,18803,36894,0,0,12734,0,47266,0,29118,513,0,60,0,60,1,0,1,T000738,TM000269
15,6049,14850,14902,24199,0,102,10954,48944,0,3550,8119,0,48331,0,27347,0,0,20,0,20,1,1,0,T000738,TM000269
16,5999,5436,20351,28214,6926,1323,27705,30972,0,1799,3305,0,54896,0,44294,0,10,50,0,60,1,0,1,T000738,TM000269
0,0,57112,0,2888,0,60000,0,0,0,0,60000,0,0,0,0,57112,0,0,0,0,0,0,0,T000692,TM000246
1,0,60000,0,0,0,59383,0,617,0,0,60000,0,0,0,0,59383,0,0,0,0,0,0,0,T000692,TM000246
2,5999,5009,0,48992,0,11074,0,48926,0,1804,3922,0,54274,0,40981,3570,0,0,0,0,0,0,0,T000692,TM000246
3,15247,12763,0,31990,5319,3147,27571,29282,0,9103,347,0,50550,0,23584,0,0,20,0,20,1,1,0,T000692,TM000246
4,2951,2217,0,54832,0,5969,22769,31262,0,6295,9579,0,44126,0,33307,203,0,0,0,0,1,0,0,T000692,TM000246
5,6049,9012,10457,34482,11462,1025,28354,30621,0,9145,7101,0,43754,0,36028,720,50,20,0,70,0,1,1,T000692,TM000246
6,6250,5127,6701,41922,0,1637,22392,35971,0,3497,1320,0,55183,0,44415,306,0,110,0,110,0,1,2,T000692,TM000246
7,0,9449,0,50551,0,0,37306,22694,0,16609,6023,0,37368,0,29832,204,0,100,0,100,0,0,2,T000692,TM000246
8,6452,13290,0,40258,2630,1954,22497,35549,0,5100,10377,0,44523,0,26187,2,0,20,0,20,1,1,0,T000692,TM000246
9,6002,3125,0,50873,0,3803,26721,29476,0,9749,-4330,0,54581,0,35492,1029,0,50,0,50,0,0,1,T000692,TM000246
10,3100,8987,0,47913,759,1123,46561,12316,0,850,1037,0,58113,0,22236,0,0,0,0,0,1,0,0,T000692,TM000246
11,6150,11873,0,41977,0,9016,5546,45438,0,8343,-610,0,52267,0,34127,1239,0,50,0,50,0,0,1,T000692,TM000246
12,12051,14310,0,33639,3780,9099,26920,23981,0,9550,901,0,49549,0,23047,2254,0,50,0,50,0,0,1,T000692,TM000246
13,6400,17279,0,36321,6042,2968,11384,45648,0,952,15202,0,43846,0,30292,917,0,50,0,50,0,0,1,T000692,TM000246
14,3000,10211,0,46789,0,2773,30622,26605,0,6298,2291,0,51411,0,25547,108,0,50,0,50,0,0,1,T000692,TM000246
